State_Name,District_Name,Crop_Year,Season,Area (Hectare),Production (Tonnes),yield (Tonne/Hectare)
Andhra Pradesh,SRIKAKULAM,2002,Whole Year,3150.0,207251.0,65.79396825
Andhra Pradesh,SRIKAKULAM,2003,Whole Year,6835.0,487281.0,71.29202634
Andhra Pradesh,SRIKAKULAM,2004,Whole Year,9065.0,690146.0,76.13303916
Andhra Pradesh,SRIKAKULAM,2005,Whole Year,11004.0,801883.0,72.87195565
Andhra Pradesh,SRIKAKULAM,2006,Whole Year,12171.0,926116.0,76.09202202
Andhra Pradesh,SRIKAKULAM,2007,Whole Year,11000.0,778000.0,70.72727273
Andhra Pradesh,SRIKAKULAM,2008,Whole Year,7139.0,548044.0,76.76761451
Andhra Pradesh,SRIKAKULAM,2009,Whole Year,4028.0,287640.0,71.4101291
Andhra Pradesh,SRIKAKULAM,2010,Whole Year,3176.0,180905.0,56.96001259
Andhra Pradesh,SRIKAKULAM,2011,Whole Year,7862.0,548950.0,69.8232002
Andhra Pradesh,SRIKAKULAM,2012,Kharif,6235.0,491606.0,78.84619086
Andhra Pradesh,SRIKAKULAM,2013,Kharif,5682.0,395814.0,69.66103485
Andhra Pradesh,SRIKAKULAM,2014,Kharif,6378.0,435708.0,68.31420508
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif,40400.0,1637200.0,40.52475248
Andhra Pradesh,VISAKHAPATANAM,1998,Whole Year,42300.0,1844300.0,43.60047281
Andhra Pradesh,VISAKHAPATANAM,1999,Whole Year,42490.0,2352119.0,55.35700165
Andhra Pradesh,VISAKHAPATANAM,2000,Whole Year,42621.0,2589914.0,60.76614814
Andhra Pradesh,VISAKHAPATANAM,2001,Whole Year,36135.0,2167594.0,59.98599696
Andhra Pradesh,VISAKHAPATANAM,2002,Whole Year,44085.0,1588904.0,36.04182829
Andhra Pradesh,VISAKHAPATANAM,2003,Whole Year,38962.0,1984023.0,50.92200092
Andhra Pradesh,VISAKHAPATANAM,2004,Whole Year,41522.0,2119283.0,51.04000289
Andhra Pradesh,VISAKHAPATANAM,2005,Whole Year,41535.0,2043854.0,49.20799326
