state_name,district_name,year,season,area_hectare,yield_t_ha,yield_tons_per_hectare,state,district,yield,ndvi_region,source_region,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,variety,prev_year_yield,yield_3yr_avg,historical_avg_yield
Andhra Pradesh,ADILABAD,,Kharif,200.0,7700.0,,Andhra Pradesh,Adilabad,7700.0,,,,,,,Co 86032,8400.0,8200.0,8125.258650916666
Andhra Pradesh,ADILABAD,,Whole Year,300.0,9600.0,,Andhra Pradesh,Adilabad,9600.0,,,,,,,Co 86032,7700.0,8566.666666666666,8125.258650916666
Andhra Pradesh,ADILABAD,,Whole Year,316.0,6511.392405,,Andhra Pradesh,Adilabad,6511.392405,,,,,,,Co 86032,9600.0,7937.130801666666,8125.258650916666
Andhra Pradesh,ADILABAD,,Whole Year,149.0,7792.61745,,Andhra Pradesh,Adilabad,7792.61745,,,,,,,Co 86032,6511.392405,7968.003285,8125.258650916666
Andhra Pradesh,ANANTAPUR,,Kharif,700.0,104.1428571,,Andhra Pradesh,Anantapur,104.1428571,,,,,,,Co 86032,,104.1428571,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,700.0,94.14285714,,Andhra Pradesh,Anantapur,94.14285714,,,,,,,Co 86032,104.1428571,99.14285712,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,884.0,94.03393665,,Andhra Pradesh,Anantapur,94.03393665,,,,,,,Co 86032,94.14285714,97.43988363,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,284.0,89.41901408,,Andhra Pradesh,Anantapur,89.41901408,,,,,,,Co 86032,94.03393665,92.53193595666666,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,490.0,86.67346939,,Andhra Pradesh,Anantapur,86.67346939,,,,,,,Co 86032,89.41901408,90.04214003999999,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,329.0,68.33130699,,Andhra Pradesh,Anantapur,68.33130699,,,,,,,Co 86032,86.67346939,81.47459682,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,454.0,71.33480176,,Andhra Pradesh,Anantapur,71.33480176,,,,,,,Co 86032,68.33130699,75.44652604666668,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,400.0,85.18,,Andhra Pradesh,Anantapur,85.18,,,,,,,Co 86032,71.33480176,74.94870291666668,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,227.0,90.80176211,,Andhra Pradesh,Anantapur,90.80176211,,,,,,,Co 86032,85.18,82.43885462333333,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,339.0,91.25958702,,Andhra Pradesh,Anantapur,91.25958702,,,,,,,Co 86032,90.80176211,89.08044971,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,131.0,93.93129771,,Andhra Pradesh,Anantapur,93.93129771,,,,,,,Co 86032,91.25958702,91.99754894666665,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,112.0,89.0,,Andhra Pradesh,Anantapur,89.0,,,,,,,Co 86032,93.93129771,91.39696157666667,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,235.0,89.28085106,,Andhra Pradesh,Anantapur,89.28085106,,,,,,,Co 86032,89.0,90.73738292333333,5042.462115601579
